service,hour,day_of_week,is_weekend,queue_length,counters_open,wait_minutes
Document Verification,9,3,0,6,1,42.21
Customer Support,16,1,0,38,3,93.82
Document Verification,15,1,0,33,1,211.22
Document Verification,17,1,0,24,2,72.62
Customer Support,13,6,1,65,1,524.0
Document Verification,15,0,0,10,4,15.31
Document Verification,12,6,1,16,4,22.81
Account Services,10,5,1,57,1,440.66
Customer Support,14,3,0,13,1,81.2
Account Services,13,4,0,45,3,122.79
Customer Support,12,0,0,11,1,74.19
Customer Support,15,5,1,20,3,53.05
Document Verification,13,3,0,51,2,156.79
Bill Payment,9,1,0,57,1,188.2
Bill Payment,17,4,0,32,2,61.9
Bill Payment,9,3,0,47,4,44.01
Bill Payment,16,6,1,5,3,6.76
Document Verification,11,0,0,48,3,106.15
General Enquiry,15,3,0,12,4,13.86
Customer Support,15,3,0,30,4,59.22
Document Verification,17,1,0,3,2,5.87
General Enquiry,16,1,0,25,2,52.83
Account Services,10,3,0,35,2,160.37
Customer Support,9,3,0,19,1,113.77
Account Services,9,6,1,51,4,98.24
Customer Support,9,4,0,49,1,299.72
Bill Payment,9,0,0,20,1,75.72
General Enquiry,16,1,0,19,3,29.47
Customer Support,16,5,1,32,1,195.56
Customer Support,12,6,1,5,1,34.21
Document Verification,15,3,0,26,3,49.19
Customer Support,9,3,0,26,2,76.6
Customer Support,16,0,0,61,3,133.47
Document Verification,10,1,0,49,3,96.31
Bill Payment,13,6,1,48,2,86.85
Account Services,13,1,0,24,2,84.17
Bill Payment,15,1,0,8,1,26.09
Account Services,11,1,0,8,2,28.64
Account Services,11,2,0,26,4,56.34
Bill Payment,16,6,1,33,1,127.17
General Enquiry,12,3,0,13,4,12.88
General Enquiry,10,6,1,15,3,21.49
Document Verification,15,0,0,17,3,27.35
General Enquiry,11,1,0,2,3,3.83
General Enquiry,17,5,1,45,2,97.67
Document Verification,12,2,0,16,2,45.62
General Enquiry,11,0,0,19,1,67.37
Document Verification,13,1,0,48,2,135.75
General Enquiry,15,6,1,32,1,134.31
Bill Payment,15,4,0,14,1,49.13
Document Verification,13,6,1,3,2,3.69
Bill Payment,10,2,0,5,3,4.31
Bill Payment,12,4,0,2,4,3.66
Bill Payment,11,2,0,2,4,1.23
Document Verification,13,6,1,13,4,19.44
General Enquiry,14,2,0,49,3,69.89
Account Services,16,0,0,15,1,117.8
Customer Support,16,1,0,46,2,170.44
Bill Payment,12,0,0,8,1,29.86
Customer Support,13,6,1,54,1,323.72
General Enquiry,13,1,0,47,2,103.56
Bill Payment,9,2,0,40,3,54.34
Document Verification,17,2,0,34,3,65.79
Account Services,14,6,1,15,4,25.73
Document Verification,10,0,0,10,4,14.67
General Enquiry,9,1,0,24,2,40.89
Account Services,17,2,0,52,3,151.02
Account Services,11,3,0,11,4,21.0
General Enquiry,13,3,0,16,4,20.44
Account Services,12,5,1,39,2,162.74
Account Services,11,5,1,31,4,55.34
Bill Payment,12,3,0,31,2,62.97
Document Verification,10,5,1,20,3,33.87
General Enquiry,17,4,0,7,2,15.4
Bill Payment,13,2,0,44,2,78.11
General Enquiry,14,6,1,26,4,28.81
Account Services,13,0,0,27,4,57.89
General Enquiry,17,3,0,20,3,31.95
Document Verification,10,1,0,10,3,22.71
Bill Payment,9,0,0,11,4,12.39
Document Verification,9,1,0,46,2,150.66
Bill Payment,15,5,1,34,3,34.87
Document Verification,16,4,0,38,2,104.59
Document Verification,15,0,0,33,4,50.37
Bill Payment,15,3,0,13,2,23.32
Customer Support,14,6,1,49,3,120.97
Bill Payment,14,2,0,35,2,63.75
Customer Support,9,4,0,15,4,23.32
Customer Support,17,1,0,5,2,16.46
General Enquiry,9,2,0,26,2,41.51
Bill Payment,9,0,0,13,1,50.03
Account Services,11,1,0,19,1,162.7
Account Services,15,0,0,32,4,64.69
Document Verification,16,1,0,2,3,0.5
Bill Payment,16,1,0,3,1,8.39
General Enquiry,11,3,0,7,2,10.28
Account Services,15,0,0,31,3,88.31
Account Services,16,0,0,16,3,43.66
Document Verification,11,0,0,15,3,25.96
General Enquiry,10,0,0,71,3,104.22
Account Services,14,4,0,19,4,37.79
Document Verification,9,2,0,25,3,46.91
Customer Support,16,1,0,50,3,108.04
Customer Support,14,2,0,31,4,58.12
Customer Support,14,6,1,4,4,8.36
Document Verification,11,6,1,23,1,126.73
Document Verification,11,1,0,18,3,34.76
Bill Payment,15,4,0,20,2,40.02
Account Services,11,3,0,19,1,173.13
Document Verification,16,3,0,4,2,10.7
Account Services,17,3,0,10,3,31.93
Bill Payment,16,2,0,8,4,5.7
Customer Support,11,3,0,34,2,131.4
Customer Support,17,5,1,13,4,17.86
Bill Payment,9,4,0,24,4,19.51
Account Services,17,1,0,7,2,22.81
General Enquiry,16,2,0,6,4,5.55
Account Services,11,3,0,17,2,73.34
General Enquiry,11,6,1,10,2,20.92
General Enquiry,16,3,0,14,2,27.23
Bill Payment,12,6,1,2,1,8.34
Document Verification,17,3,0,14,1,90.27
Document Verification,9,0,0,44,4,66.41
Bill Payment,17,2,0,13,2,24.35
Customer Support,12,0,0,6,1,42.63
General Enquiry,13,6,1,47,4,49.26
Document Verification,15,1,0,17,4,25.23
General Enquiry,9,0,0,26,3,38.34
General Enquiry,13,6,1,39,1,163.83
Customer Support,12,5,1,38,4,61.61
Account Services,15,0,0,4,1,33.05
Customer Support,12,6,1,11,2,44.53
General Enquiry,17,1,0,15,4,18.02
Account Services,15,5,1,23,4,38.5
Account Services,16,1,0,43,3,129.03
Bill Payment,10,1,0,9,1,31.2
Account Services,9,4,0,7,3,18.15
Bill Payment,9,0,0,28,2,50.31
Customer Support,14,5,1,41,2,152.97
Account Services,16,3,0,43,1,377.17
Bill Payment,12,2,0,41,3,49.77
Document Verification,11,6,1,20,2,48.97
Customer Support,10,2,0,7,1,53.59
General Enquiry,16,0,0,22,4,20.47
Customer Support,12,0,0,33,4,54.9
Bill Payment,10,4,0,48,4,45.36
General Enquiry,14,0,0,58,3,69.93
Bill Payment,16,0,0,31,2,52.09
Account Services,14,1,0,42,2,172.89
Account Services,16,0,0,58,4,121.0
General Enquiry,16,0,0,38,2,69.34
General Enquiry,10,0,0,35,4,36.76
Customer Support,13,5,1,27,3,54.07
Bill Payment,9,1,0,10,3,9.74
General Enquiry,15,2,0,2,2,4.38
Customer Support,13,0,0,35,1,248.91
Account Services,13,2,0,26,3,68.46
Document Verification,13,0,0,4,3,5.19
Customer Support,11,0,0,46,3,88.51
Document Verification,15,6,1,27,1,146.39
Document Verification,13,4,0,11,3,28.43
Bill Payment,13,2,0,47,3,48.01
Customer Support,10,2,0,46,1,342.56
Bill Payment,16,0,0,19,4,18.65
Bill Payment,15,5,1,27,3,30.1
Bill Payment,16,3,0,17,3,17.95
Document Verification,10,5,1,3,3,6.51
General Enquiry,11,4,0,15,2,30.94
Customer Support,17,1,0,31,2,121.56
Customer Support,13,6,1,67,2,205.86
Bill Payment,9,4,0,7,2,14.54
Account Services,10,1,0,48,3,133.34
Account Services,13,1,0,46,2,162.38
Account Services,15,0,0,22,1,145.78
Document Verification,11,0,0,27,1,139.56
Document Verification,10,3,0,52,3,93.31
General Enquiry,12,1,0,5,3,5.62
Customer Support,11,1,0,11,3,31.69
Bill Payment,9,5,1,14,1,45.83
Account Services,15,5,1,36,2,132.5
Document Verification,16,3,0,5,4,6.22
Account Services,17,2,0,39,2,165.17
Account Services,16,6,1,21,2,77.85
Document Verification,14,6,1,49,4,64.13
General Enquiry,13,2,0,19,3,29.77
General Enquiry,13,1,0,44,4,41.67
Document Verification,11,6,1,25,4,40.82
Account Services,11,4,0,9,3,19.45
Bill Payment,15,2,0,26,4,26.6
Customer Support,13,6,1,66,2,208.87
Customer Support,14,1,0,41,3,91.24
Bill Payment,14,5,1,3,2,5.72
Account Services,17,5,1,53,4,115.12
Bill Payment,17,5,1,24,3,21.97
Customer Support,12,0,0,24,3,51.7
Account Services,15,4,0,30,1,264.58
Customer Support,17,1,0,15,1,109.93
Customer Support,15,4,0,30,4,49.74
Account Services,9,0,0,12,3,27.84
General Enquiry,14,4,0,2,2,2.89
Document Verification,17,3,0,30,1,171.55
Bill Payment,9,3,0,33,4,24.22
Account Services,9,4,0,17,1,118.71
Customer Support,9,4,0,37,2,126.32
Customer Support,15,0,0,34,2,116.63
Customer Support,11,2,0,24,1,138.97
Account Services,10,5,1,37,2,165.57
Account Services,15,4,0,38,4,77.68
General Enquiry,10,4,0,44,1,195.47
General Enquiry,16,3,0,9,3,10.65
Document Verification,14,4,0,24,2,66.87
Bill Payment,17,2,0,2,1,6.37
General Enquiry,15,5,1,19,3,21.6
Account Services,16,6,1,49,4,99.38
Bill Payment,12,2,0,17,4,13.88
Account Services,16,5,1,4,4,10.8
Bill Payment,17,0,0,5,1,16.81
Document Verification,16,5,1,16,4,23.76
General Enquiry,11,3,0,27,4,27.56
Account Services,15,1,0,17,3,50.6
Document Verification,14,1,0,41,4,66.94
General Enquiry,9,6,1,36,4,34.97
Bill Payment,11,3,0,17,1,63.81
Account Services,12,0,0,23,1,208.76
Bill Payment,15,5,1,36,3,35.7
General Enquiry,14,4,0,10,4,12.2
Account Services,11,4,0,11,3,26.57
Bill Payment,16,4,0,55,4,44.36
Customer Support,16,5,1,56,3,152.48
Account Services,14,1,0,47,1,387.86
General Enquiry,10,2,0,10,1,39.23
Account Services,10,3,0,16,3,51.94
General Enquiry,16,2,0,12,1,52.73
Account Services,12,3,0,13,4,32.7
General Enquiry,13,1,0,48,1,220.18
General Enquiry,15,0,0,33,2,56.43
Document Verification,11,2,0,20,4,37.23
Document Verification,16,6,1,59,1,391.11
General Enquiry,15,6,1,31,3,46.37
Customer Support,11,5,1,26,2,99.34
Document Verification,11,3,0,5,4,10.53
General Enquiry,17,0,0,42,3,60.55
General Enquiry,11,6,1,34,2,60.79
Customer Support,9,4,0,33,1,260.86
Bill Payment,9,3,0,53,2,97.61
Customer Support,14,0,0,53,3,129.58
General Enquiry,17,6,1,21,4,20.47
Customer Support,9,2,0,39,3,102.55
Account Services,14,3,0,7,3,21.17
Bill Payment,14,4,0,13,1,50.64
Bill Payment,16,3,0,35,1,121.22
General Enquiry,9,2,0,15,3,21.01
Document Verification,17,6,1,40,4,51.46
Bill Payment,15,2,0,9,3,8.6
Customer Support,10,4,0,35,2,113.24
Customer Support,11,4,0,28,2,90.89
Customer Support,13,6,1,18,4,32.81
Customer Support,12,4,0,25,4,45.71
Document Verification,17,3,0,10,4,17.66
General Enquiry,13,3,0,16,2,31.06
Bill Payment,11,6,1,32,3,34.0
Account Services,9,0,0,77,1,674.86
Customer Support,15,3,0,7,4,14.09
Document Verification,15,1,0,23,4,33.78
General Enquiry,11,1,0,19,1,71.76
General Enquiry,12,6,1,12,1,56.08
General Enquiry,13,4,0,11,3,14.75
General Enquiry,12,5,1,19,4,16.8
Account Services,17,3,0,5,2,19.07
Account Services,17,6,1,13,1,110.81
Bill Payment,14,1,0,45,2,70.4
Customer Support,12,6,1,18,1,124.05
Bill Payment,14,5,1,35,4,28.91
Account Services,15,5,1,21,1,173.84
Document Verification,14,3,0,34,1,225.29
Customer Support,11,3,0,1,4,0.5
Bill Payment,10,4,0,62,2,104.68
Customer Support,13,5,1,25,4,39.31
Document Verification,14,2,0,36,2,102.32
Account Services,11,3,0,23,4,51.79
Customer Support,12,2,0,27,2,92.09
Account Services,11,0,0,19,3,56.6
Account Services,9,6,1,58,3,159.09
Bill Payment,10,1,0,37,2,66.4
Customer Support,14,0,0,61,4,94.78
Account Services,16,1,0,5,1,40.71
General Enquiry,9,3,0,19,1,67.39
Bill Payment,16,2,0,14,3,13.29
Customer Support,12,5,1,23,4,42.7
General Enquiry,17,6,1,14,1,52.9
Bill Payment,14,6,1,40,1,149.1
Document Verification,9,6,1,43,3,91.29
Document Verification,12,4,0,5,4,4.56
Account Services,11,0,0,47,2,171.54
Document Verification,9,3,0,34,4,49.91
Bill Payment,12,5,1,41,4,33.88
Account Services,16,2,0,29,4,55.01
Bill Payment,11,5,1,27,4,20.83
Document Verification,16,1,0,40,3,88.13
General Enquiry,12,3,0,7,4,9.66
Document Verification,17,6,1,27,2,92.45
Account Services,16,5,1,16,2,64.15
Bill Payment,12,2,0,11,3,11.78
Customer Support,17,2,0,30,3,63.52
Bill Payment,9,1,0,8,2,16.0
Document Verification,11,1,0,28,1,167.75
Customer Support,15,2,0,21,4,36.24
Customer Support,11,2,0,10,2,40.51
Account Services,14,6,1,26,1,202.59
Document Verification,11,2,0,26,4,43.52
Document Verification,9,6,1,54,4,86.86
General Enquiry,9,1,0,37,3,56.15
Document Verification,17,1,0,8,3,21.33
General Enquiry,12,3,0,13,1,55.96
Customer Support,10,3,0,35,2,103.9
General Enquiry,12,3,0,24,4,26.9
Account Services,15,0,0,9,4,22.03
Document Verification,15,0,0,52,1,328.62
Document Verification,15,3,0,10,1,64.25
Account Services,17,1,0,18,4,30.75
Customer Support,15,0,0,20,2,68.18
Account Services,14,5,1,46,2,176.98
General Enquiry,13,3,0,14,1,59.14
General Enquiry,13,5,1,12,4,10.86
Customer Support,9,0,0,35,1,251.7
Bill Payment,16,1,0,44,1,155.92
Bill Payment,9,0,0,32,1,117.44
Customer Support,16,2,0,3,4,11.09
Bill Payment,12,0,0,15,1,53.67
Bill Payment,15,2,0,19,2,31.31
Customer Support,10,1,0,10,2,28.66
Document Verification,12,5,1,8,3,17.54
General Enquiry,11,6,1,5,3,7.93
Document Verification,17,3,0,53,4,70.73
Document Verification,9,6,1,45,1,281.14
Document Verification,13,2,0,51,1,294.85
Document Verification,10,6,1,43,4,57.29
Bill Payment,15,6,1,12,3,13.71
Document Verification,17,6,1,21,1,135.54
Bill Payment,13,0,0,6,1,18.26
Customer Support,10,0,0,65,2,259.33
Bill Payment,15,0,0,31,3,30.58
Customer Support,17,6,1,24,2,83.41
Bill Payment,12,3,0,6,1,21.77
Account Services,17,1,0,53,3,148.29
Account Services,9,3,0,41,1,308.35
Document Verification,15,0,0,3,1,20.73
Customer Support,11,3,0,30,1,222.96
Bill Payment,14,5,1,52,2,85.49
Bill Payment,16,4,0,46,4,45.23
Bill Payment,11,2,0,3,4,3.33
Account Services,13,2,0,10,4,20.84
Account Services,15,6,1,19,4,45.73
Customer Support,15,4,0,24,4,45.51
Account Services,16,5,1,44,4,83.41
Customer Support,15,0,0,29,2,103.5
Account Services,13,1,0,6,3,15.38
Account Services,11,1,0,37,1,317.72
General Enquiry,17,1,0,31,3,45.09
Customer Support,9,4,0,28,4,49.5
Bill Payment,16,4,0,35,4,33.79
Customer Support,16,4,0,45,4,74.67
Customer Support,10,5,1,47,4,80.64
Customer Support,13,2,0,33,4,55.55
Account Services,9,5,1,7,3,15.8
Customer Support,9,4,0,57,2,183.03
Document Verification,9,2,0,31,1,214.86
General Enquiry,16,1,0,41,1,186.63
Customer Support,9,2,0,19,4,35.34
General Enquiry,9,1,0,11,1,38.38
Account Services,10,1,0,29,4,47.44
Bill Payment,14,4,0,49,2,83.77
Bill Payment,16,2,0,6,3,7.65
Account Services,11,6,1,9,4,17.11
Document Verification,13,6,1,41,4,57.81
Document Verification,17,4,0,13,1,70.32
Account Services,17,5,1,41,2,146.46
Customer Support,11,4,0,19,4,38.12
General Enquiry,10,3,0,55,3,66.84
Document Verification,12,1,0,19,2,50.99
Customer Support,14,5,1,49,1,316.14
Bill Payment,16,4,0,52,4,43.1
Bill Payment,16,6,1,5,2,7.28
Customer Support,10,3,0,47,4,78.35
Account Services,17,6,1,46,1,315.99
Bill Payment,17,1,0,9,2,14.46
Document Verification,15,6,1,38,2,111.15
Account Services,14,4,0,43,3,138.67
Bill Payment,17,4,0,27,1,102.93
Bill Payment,10,3,0,70,3,93.54
Account Services,10,0,0,44,3,107.54
Account Services,11,0,0,33,4,61.57
Customer Support,9,1,0,57,1,440.26
General Enquiry,17,2,0,36,2,77.84
Account Services,11,5,1,35,4,80.53
Account Services,9,5,1,51,2,195.82
General Enquiry,13,6,1,28,4,31.69
Document Verification,16,3,0,12,2,33.55
General Enquiry,10,1,0,48,4,45.31
Document Verification,12,2,0,35,1,227.99
Account Services,16,0,0,48,4,82.42
Document Verification,15,3,0,30,3,65.13
General Enquiry,17,5,1,56,2,125.68
General Enquiry,14,2,0,25,2,45.01
Customer Support,12,3,0,42,4,80.02
Customer Support,14,2,0,22,1,145.19
General Enquiry,16,5,1,16,4,18.06
General Enquiry,9,1,0,56,1,205.46
General Enquiry,13,2,0,12,4,11.99
Customer Support,11,6,1,7,4,11.73
Document Verification,15,5,1,17,4,28.58
Customer Support,16,2,0,18,4,35.5
Bill Payment,11,1,0,15,2,27.45
Document Verification,13,6,1,5,3,15.47
Document Verification,16,3,0,32,1,200.97
Account Services,17,6,1,32,1,227.03
Account Services,14,2,0,40,1,370.55
Bill Payment,16,3,0,50,3,60.13
General Enquiry,14,4,0,32,3,40.28
Document Verification,16,5,1,17,2,47.08
Document Verification,12,2,0,6,1,42.02
Customer Support,10,2,0,5,1,31.95
Bill Payment,12,0,0,25,3,31.79
Account Services,13,3,0,37,4,64.29
Customer Support,17,6,1,29,2,88.08
Customer Support,17,4,0,18,3,39.54
Account Services,11,2,0,37,2,148.31
Bill Payment,14,0,0,41,3,42.33
Customer Support,17,5,1,25,3,54.08
General Enquiry,17,4,0,11,2,21.81
General Enquiry,16,1,0,30,4,26.6
Bill Payment,16,3,0,3,4,3.74
Document Verification,17,5,1,30,3,56.02
Customer Support,9,6,1,24,3,53.77
General Enquiry,17,6,1,66,4,61.87
Account Services,15,1,0,2,1,17.88
Account Services,17,6,1,20,3,53.38
Bill Payment,13,6,1,20,4,18.01
General Enquiry,14,6,1,14,3,21.73
Bill Payment,14,1,0,23,3,29.43
Account Services,17,6,1,38,4,85.14
Bill Payment,14,5,1,49,1,169.31
General Enquiry,13,4,0,7,3,8.47
Customer Support,17,0,0,29,1,171.8
Bill Payment,13,6,1,25,3,30.39
Document Verification,16,5,1,54,2,169.93
Bill Payment,15,3,0,13,2,27.96
Bill Payment,10,6,1,62,1,196.45
General Enquiry,15,6,1,41,4,42.19
Customer Support,14,2,0,35,2,102.46
Account Services,9,3,0,51,4,123.76
Account Services,16,0,0,46,1,338.73
Document Verification,16,3,0,50,4,78.65
Account Services,12,4,0,23,4,41.13
Account Services,14,0,0,23,3,53.68
Bill Payment,15,0,0,40,3,43.6
Document Verification,15,2,0,12,1,80.9
Customer Support,17,4,0,46,3,122.2
Bill Payment,9,5,1,68,1,224.24
General Enquiry,14,4,0,56,4,63.97
Account Services,13,4,0,36,1,272.16
Document Verification,16,6,1,53,4,72.21
Bill Payment,10,5,1,45,2,79.04
Account Services,17,4,0,6,4,6.21
Account Services,12,2,0,24,3,61.55
Account Services,12,6,1,29,4,56.04
Customer Support,9,2,0,6,1,48.72
Bill Payment,10,6,1,19,1,58.11
General Enquiry,11,6,1,9,4,6.26
General Enquiry,14,1,0,58,2,106.82
Document Verification,13,6,1,5,2,13.5
Customer Support,13,3,0,37,2,122.55
Document Verification,9,6,1,45,4,72.02
Customer Support,14,3,0,29,1,222.36
Document Verification,11,2,0,35,1,217.73
General Enquiry,9,5,1,56,3,71.05
Document Verification,16,4,0,20,1,99.33
Customer Support,14,3,0,52,2,182.49
Customer Support,13,4,0,54,1,429.59
Account Services,13,2,0,49,3,124.59
Document Verification,16,5,1,53,3,107.44
Customer Support,13,1,0,5,4,5.8
Document Verification,17,1,0,43,1,253.49
General Enquiry,12,3,0,11,4,10.72
General Enquiry,15,2,0,17,3,20.39
Account Services,17,0,0,26,2,120.99
Document Verification,9,1,0,49,3,106.73
Document Verification,16,2,0,33,3,64.71
Bill Payment,13,5,1,52,1,198.7
Customer Support,12,1,0,33,3,72.45
Bill Payment,12,6,1,37,3,41.59
General Enquiry,11,6,1,32,4,38.15
General Enquiry,16,6,1,22,2,46.43
Customer Support,11,1,0,38,2,141.29
Account Services,13,0,0,43,2,185.55
Document Verification,17,6,1,40,4,53.21
Account Services,14,1,0,23,4,44.18
Customer Support,16,3,0,44,1,308.36
Document Verification,10,5,1,18,1,110.18
Bill Payment,9,3,0,21,2,31.07
Account Services,17,6,1,35,2,144.54
Document Verification,9,5,1,41,1,213.68
General Enquiry,16,2,0,8,4,4.2
Bill Payment,15,3,0,25,3,31.48
Bill Payment,14,0,0,20,2,36.06
Document Verification,17,5,1,44,4,60.43
General Enquiry,17,1,0,39,2,75.23
Account Services,10,6,1,5,1,37.74
General Enquiry,13,4,0,30,2,61.42
Document Verification,14,1,0,18,1,115.04
Bill Payment,9,1,0,31,2,59.04
Bill Payment,15,6,1,3,3,2.53
Account Services,11,3,0,21,3,61.21
Document Verification,10,2,0,57,4,82.01
Document Verification,16,1,0,17,1,89.28
Document Verification,13,0,0,20,4,26.2
Bill Payment,11,3,0,12,4,9.18
Document Verification,13,4,0,22,1,147.36
Customer Support,15,1,0,29,3,76.5
Account Services,9,4,0,44,4,95.47
General Enquiry,14,1,0,8,1,29.92
Account Services,15,4,0,27,4,55.24
Bill Payment,11,3,0,15,2,31.29
Bill Payment,14,6,1,2,3,2.2
Account Services,17,4,0,33,3,70.97
Customer Support,15,1,0,2,1,14.91
Bill Payment,11,2,0,17,4,12.68
Account Services,10,1,0,8,4,14.72
Document Verification,9,6,1,16,2,43.9
Account Services,13,6,1,32,3,97.83
General Enquiry,9,1,0,22,3,32.57
Account Services,17,5,1,44,2,180.41
Account Services,16,1,0,8,2,38.96
Customer Support,10,6,1,28,2,93.27
Customer Support,13,3,0,21,2,71.3
Bill Payment,11,5,1,16,4,15.3
Account Services,9,6,1,60,2,242.58
Bill Payment,17,5,1,11,1,38.33
Bill Payment,11,2,0,20,3,20.12
Bill Payment,14,2,0,15,3,14.91
Document Verification,9,1,0,60,2,160.41
Account Services,16,1,0,21,2,95.63
Document Verification,16,0,0,52,1,314.6
Document Verification,14,1,0,27,4,37.47
General Enquiry,12,5,1,34,4,32.99
Customer Support,15,0,0,51,1,398.22
Customer Support,13,3,0,19,2,58.54
Customer Support,16,2,0,29,3,75.0
Account Services,12,2,0,17,1,143.96
General Enquiry,9,4,0,49,1,169.43
General Enquiry,10,6,1,50,4,55.21
Customer Support,12,0,0,43,2,154.0
Document Verification,16,3,0,33,1,179.65
Customer Support,13,6,1,43,4,68.34
Account Services,12,5,1,34,2,121.0
Customer Support,11,5,1,6,4,9.12
Customer Support,9,6,1,8,2,30.16
Customer Support,13,1,0,4,3,11.29
Customer Support,12,6,1,39,2,135.49
General Enquiry,17,6,1,50,3,74.6
Bill Payment,17,6,1,42,3,51.87
Customer Support,9,1,0,9,4,13.23
General Enquiry,9,3,0,50,1,175.51
Bill Payment,11,2,0,18,2,33.65
Document Verification,15,1,0,18,4,26.56
Document Verification,10,2,0,33,1,216.61
Document Verification,15,1,0,5,4,12.8
General Enquiry,12,3,0,7,4,8.52
Customer Support,16,0,0,41,1,262.25
Customer Support,14,2,0,10,1,77.45
Document Verification,11,5,1,28,2,87.79
Account Services,10,3,0,32,4,69.66
General Enquiry,10,6,1,27,1,110.59
General Enquiry,11,3,0,31,2,52.29
Account Services,12,5,1,40,3,104.96
General Enquiry,16,4,0,29,2,63.05
General Enquiry,11,0,0,50,4,55.8
Customer Support,16,5,1,49,3,116.86
General Enquiry,17,5,1,22,1,84.18
Bill Payment,12,1,0,2,2,1.06
Document Verification,9,5,1,6,1,40.47
General Enquiry,12,4,0,21,3,25.54
Customer Support,10,0,0,11,3,28.99
Account Services,10,6,1,22,4,51.07
General Enquiry,14,6,1,59,3,74.53
General Enquiry,15,4,0,12,2,27.45
Account Services,14,1,0,45,1,362.14
Bill Payment,9,2,0,7,2,12.37
Document Verification,12,6,1,20,1,127.84
Account Services,12,3,0,16,3,47.83
Bill Payment,12,4,0,24,2,43.25
Customer Support,13,2,0,28,1,190.93
General Enquiry,11,5,1,27,1,115.26
Bill Payment,10,0,0,81,1,277.32
Customer Support,16,5,1,8,3,20.33
Bill Payment,14,1,0,8,2,14.48
Bill Payment,13,4,0,31,4,22.85
Account Services,13,4,0,24,4,49.14
Customer Support,13,6,1,13,1,81.74
General Enquiry,13,2,0,29,3,41.83
Customer Support,14,4,0,30,1,194.52
Bill Payment,13,1,0,14,2,23.36
General Enquiry,16,6,1,7,4,9.11
Bill Payment,16,1,0,8,2,13.82
General Enquiry,15,4,0,6,4,4.88
Bill Payment,16,1,0,15,2,28.38
Customer Support,12,2,0,22,1,139.4
Account Services,11,0,0,11,3,30.32
Customer Support,16,2,0,38,3,83.06
Bill Payment,12,0,0,40,2,66.16
Document Verification,17,2,0,37,1,235.48
Customer Support,12,6,1,42,3,112.81
Customer Support,14,5,1,5,1,32.89
General Enquiry,15,6,1,23,1,91.86
Customer Support,16,2,0,49,3,125.24
Account Services,9,0,0,79,3,213.74
Document Verification,16,1,0,16,2,52.58
Bill Payment,12,4,0,32,2,63.49
Account Services,12,4,0,14,2,52.34
Account Services,13,1,0,29,3,79.5
Document Verification,15,1,0,10,4,15.24
General Enquiry,17,4,0,40,3,50.45
Account Services,10,3,0,12,4,19.87
Document Verification,15,0,0,9,4,13.9
Bill Payment,13,6,1,49,3,61.75
General Enquiry,14,3,0,15,3,17.29
General Enquiry,17,0,0,13,1,45.97
Account Services,10,4,0,38,1,264.92
General Enquiry,17,4,0,22,3,31.38
Account Services,16,1,0,44,3,124.7
Document Verification,15,1,0,4,4,1.06
Customer Support,17,5,1,24,3,64.67
Bill Payment,17,4,0,48,1,187.3
Document Verification,12,6,1,8,1,46.24
Document Verification,11,2,0,38,2,118.99
Account Services,10,3,0,12,4,29.03
Bill Payment,15,6,1,38,2,58.91
Account Services,16,6,1,52,3,151.3
General Enquiry,13,3,0,50,1,228.03
Customer Support,17,6,1,12,4,23.64
Bill Payment,10,2,0,27,2,40.14
General Enquiry,14,0,0,62,3,71.37
Account Services,13,2,0,50,3,124.0
Customer Support,16,4,0,3,4,3.16
Customer Support,13,0,0,38,3,82.78
General Enquiry,10,0,0,12,4,12.49
Customer Support,14,3,0,30,3,79.75
Document Verification,17,3,0,40,3,73.89
Document Verification,17,5,1,29,1,181.42
Document Verification,10,2,0,54,3,99.58
Account Services,14,0,0,19,1,134.43
Customer Support,12,0,0,9,1,66.18
Account Services,10,5,1,16,1,127.44
Account Services,17,3,0,9,4,14.86
General Enquiry,13,0,0,9,1,29.61
Document Verification,17,3,0,24,2,69.97
Bill Payment,13,0,0,5,2,10.28
Document Verification,15,6,1,36,4,52.05
Account Services,14,3,0,27,1,204.02
Customer Support,16,2,0,4,2,14.82
Document Verification,14,5,1,21,1,128.55
Account Services,16,5,1,30,2,119.03
Document Verification,14,1,0,51,4,71.82
Bill Payment,11,3,0,5,1,17.62
Bill Payment,15,1,0,14,4,13.35
Customer Support,17,3,0,48,1,369.31
Document Verification,12,4,0,7,2,25.42
Account Services,16,5,1,13,4,23.85
Customer Support,15,2,0,19,3,43.71
Document Verification,17,4,0,9,4,12.83
Bill Payment,13,5,1,13,2,22.77
General Enquiry,17,4,0,40,4,39.03
Account Services,17,0,0,48,4,106.07
General Enquiry,14,6,1,37,1,161.86
Customer Support,16,3,0,4,2,11.8
Bill Payment,11,3,0,35,2,63.71
Document Verification,16,0,0,27,4,32.99
Bill Payment,11,3,0,37,3,41.47
General Enquiry,10,6,1,60,1,258.54
General Enquiry,11,5,1,45,3,69.56
Document Verification,11,1,0,15,4,27.09
Document Verification,16,2,0,20,2,54.63
Customer Support,11,5,1,8,1,46.45
Bill Payment,15,0,0,27,2,53.36
Document Verification,12,2,0,34,4,42.67
Bill Payment,9,3,0,11,4,14.44
General Enquiry,14,6,1,53,3,68.19
General Enquiry,13,6,1,46,1,155.19
Document Verification,9,1,0,44,1,232.32
Bill Payment,16,4,0,11,4,8.66
General Enquiry,16,3,0,4,2,7.92
